#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 140  64
# Band-Index    1
   4.47373    -14.717451    -14.740775
   4.41995    -14.719759    -14.743236
   4.36617    -14.723791    -14.747209
   4.31239    -14.728925    -14.751857
   4.25861    -14.732294    -14.754672
   4.20483    -14.731444    -14.753976
   4.15105    -14.728121    -14.750947
   4.09727    -14.723709    -14.746759
   4.04349    -14.718709    -14.741947
   3.98971    -14.713372    -14.736797
   3.93593    -14.707893    -14.731522
   3.88215    -14.702214    -14.726306
   3.82837    -14.696109    -14.721297
   3.77459    -14.691131    -14.716174
   3.72081    -14.687387    -14.712313
   3.66703    -14.684859    -14.709710
   3.61325    -14.683436    -14.708249
   3.55947    -14.682943    -14.707772
   3.55947    -14.682943    -14.707772
   3.52759    -14.683162    -14.707960
   3.49572    -14.683602    -14.708429
   3.46385    -14.684354    -14.709207
   3.43197    -14.685458    -14.710346
   3.40010    -14.686952    -14.711885
   3.36823    -14.688888    -14.713878
   3.33635    -14.691312    -14.716367
   3.30448    -14.694258    -14.719355
   3.27261    -14.697725    -14.722276
   3.24074    -14.701075    -14.724981
   3.20886    -14.703922    -14.727643
   3.17699    -14.706619    -14.730197
   3.14512    -14.709122    -14.732573
   3.11324    -14.711367    -14.734708
   3.08137    -14.713296    -14.736543
   3.04950    -14.714852    -14.738024
   3.01763    -14.715994    -14.739111
   2.98575    -14.716691    -14.739775
   2.95388    -14.716925    -14.739998
   2.95388    -14.717025    -14.740094
   2.92201    -14.716791    -14.739871
   2.89013    -14.716092    -14.739206
   2.85826    -14.714950    -14.738118
   2.82638    -14.713392    -14.736635
   2.79451    -14.711461    -14.734798
   2.76263    -14.709212    -14.732661
   2.73076    -14.706705    -14.730281
   2.69888    -14.704000    -14.727723
   2.66701    -14.701122    -14.725054
   2.63513    -14.697654    -14.722326
